,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Service","Labour Charge","General Service Charge","H","H","Sales",,,0.00,,"","each (ea)","Count in each",0.00,,,50.00,56.5,"No","",,"No",,,,,,
,"Active","Service","Other Charges",,"H","H","Uncategorized Income",,,0.00,,"","each (ea)","Count in each",40.17,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","MPG B550 GAMING PLUS","MSI MB MPG B550 GAMING PLUS ATX GAMING (B550GPLUS)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"MSI MB MPG B550 GAMING PLUS ATX GAMING (B550GPLUS)",0,"each (ea)","Count in each",183.00,,,0.00,0,"No",""," B550GPLUS","No",,,,,,
,"Active","Inventory Part","Sound Cards",,"H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,,0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Sound Cards:70SB174000003","Creative Labs Sound Card 70SB174000003 SOUND BLASTERX AE-5 PLUS Black","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs Sound Card 70SB174000003 SOUND BLASTERX AE-5 PLUS Black",0,"each (ea)","Count in each",165.33,,,0.00,0,"No","","70SB174000003","No",,,,,,
,"Active","Inventory Part","Sound Cards:70SB174000000","Sound BlasterX AE5 Sound Card","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Sound BlasterX AE5 Sound Card",0,"each (ea)","Count in each",171.30,,,0.00,0,"No","","70SB174000000","No",,,,,,
,"Active","Inventory Part","Sound Cards:70SB181000000","Creative Labs Sound Card 70SB181000000 SOUND BLASTER X-3","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs Sound Card 70SB181000000 SOUND BLASTER X-3",0,"each (ea)","Count in each",134.15,,,0.00,0,"No","","70SB181000000","No",,,,,,
,"Active","Inventory Part","Sound Cards:766623150859","Manhattan 150859 Hi-Speed USB 3-D Sound Adapter","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Manhattan Hi-Speed USB 3-D Sound Adapter",0,"each (ea)","Count in each",9.71,,,0.00,0,"No","","150859","No",,,,,,
,"Active","Inventory Part","Sound Cards:70SB150000000","Creative Labs  70SB150000000 SB 1500 Sound Blaster Z PCI-E Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs 70SB150000000 SB 1500 Sound Blaster Z PCI-E Retail",0,"each (ea)","Count in each",120.00,,,0.00,0,"No","","70SB150000000","No",,,,,,
,"Active","Inventory Part","Camera",,"H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,,0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Camera:T3H-00016","Microsoft LifeCam HD-3000 Webcam - 30 fps - USB 2.0 - 1280 x 720 Video - CMOS Sensor - Fixed Foc...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Microsoft LifeCam HD-3000 Webcam - 30 fps - USB 2.0 - 1280 x 720 Video - CMOS Sensor - Fixed Foc...",0,"each (ea)","Count in each",36.50,,,0.00,0,"No","","HD-3000","No",,,,,,
,"Active","Inventory Part","Camera:960-001105 (Open Box)","Open Box Logitech 960-001105 BRIO 4K Ultra HD Webcam 90fps USB3.0","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Open Box Logitech 960-001105 BRIO 4K Ultra HD Webcam 90fps USB3.0",0,"each (ea)","Count in each",195.00,,,0.00,0,"No","","OB 960-001105","No",,,,,,
,"Active","Inventory Part","Camera:73VF077000000","Creative 73VF077000000 USB 2.0 Creative Live! Cam Sync HD Webcam","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative 73VF077000000 USB 2.0 Creative Live! Cam Sync HD Webcam",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","73VF077000000","No",,,,,,
,"Active","Inventory Part","Camera:C310","Logitech Camera 960-000585 Webcam C310 USB 720p 1280x720 w Microphone","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech Camera 960-000585 Webcam C310 USB 720p 1280x720 w Microphone",19,"each (ea)","Count in each",60.94,,,0.00,0,"No","","960-000585","No",,"64/0109","65",,,"960-000585"
,"Active","Inventory Part","Camera:960-001280","Logitech Webcam - 2.1 Megapixel - 60 fps - Graphite - USB - 1920 x 1080 Video - Auto-focus - Mic...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech Webcam - 2.1 Megapixel - 60 fps - Graphite - USB - 1920 x 1080 Video - Auto-focus - Mic...",4,"each (ea)","Count in each",212.50,,,0.00,0,"No","","960-001280","No",,"218/0109","219",,,"960-001280"
,"Active","Inventory Part","Camera:960-001105","Logitech 960-001105 BRIO 4K Ultra HD Webcam 90fps USB3.0","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech 960-001105 BRIO 4K Ultra HD Webcam 90fps USB3.0",0,"each (ea)","Count in each",237.60,,,0.00,0,"No","","960-001105","No",,"262/1021","265",,,"960-001105"
,"Active","Inventory Part","Camera:B525","Logitech Webcam 960-000841 Color Webcam B525 Audio Hi-Speed USB","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech Webcam 960-000841 Color Webcam B525 Audio Hi-Speed USB",0,"each (ea)","Count in each",79.50,,,0.00,0,"No","","960-000841","No",,,,,,
,"Active","Inventory Part","Camera:960-001070","Logitech Pro Webcam Ultra Wide-Angle (960-001070)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech Pro Webcam Ultra Wide-Angle (960-001070)",9,"each (ea)","Count in each",143.00,,,0.00,0,"No","","960-001070","No",,"148/0109","149",,,"960-001070"
,"Active","Inventory Part","Camera:73VF086000000","Creative Labs Camera 73VF086000000 Live!Cam Sync 1080P","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs Camera 73VF086000000 Live!Cam Sync 1080P",0,"each (ea)","Count in each",53.06,,,0.00,0,"No","","73VF086000000","No",,,,,,
,"Active","Inventory Part","Camera:C922","Logitech C922 Pro Webcam - 2 Megapixel - 60 fps - USB 2.0 - 1920 x 1080 Video - Auto-focus - Mic...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech C922 Webcam - 2 Megapixel - 60 fps - USB 2.0 - 1920 x 1080 Video - Auto-focus - Microphone",23,"each (ea)","Count in each",123.95,,,0.00,0,"No","","960-001087","No",,"128/0109","129",,,"960-001087"
