,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Service","Labour Charge","General Service Charge","H","H","Sales",,,0.00,,"","each (ea)","Count in each",0.00,,,50.00,56.5,"No","",,"No",,,,,,
,"Active","Service","Other Charges",,"H","H","Uncategorized Income",,,0.00,,"","each (ea)","Count in each",131.68,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Sound Cards",,"H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,,0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Sound Cards:70SB174000000","Sound BlasterX AE5 Sound Card","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Sound BlasterX AE5 Sound Card",0,"each (ea)","Count in each",171.30,,,0.00,0,"No","","70SB174000000","No",,,,,,
,"Active","Inventory Part","Sound Cards:054651192515","Creative Labs Sound Card 70SB181000000 SOUND BLASTER X-3","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs Sound Card 70SB181000000 SOUND BLASTER X-3",0,"each (ea)","Count in each",134.15,,,0.00,0,"No","","70SB181000000","No",,,,,,
,"Active","Inventory Part","Sound Cards:766623150859","Manhattan 150859 Hi-Speed USB 3-D Sound Adapter","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Manhattan Hi-Speed USB 3-D Sound Adapter",0,"each (ea)","Count in each",9.71,,,0.00,0,"No","","150859","No",,,,,,
,"Active","Inventory Part","Sound Cards:054651180963","Creative Labs  70SB150000000 SB 1500 Sound Blaster Z PCI-E Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Creative Labs 70SB150000000 SB 1500 Sound Blaster Z PCI-E Retail",0,"each (ea)","Count in each",120.00,,,0.00,0,"No","","70SB150000000","No",,,,,,
,"Active","Inventory Part","Camera",,"H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,,0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Camera:B3","PRODATA B3 1080P FULL HD WEBCAM","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"PRODATA B3 1080P FULL HD WEBCAM",9,"each (ea)","Count in each",46.00,,,0.00,0,"No","","B3","No",,"57/0526","58",,,"B3"
,"Active","Inventory Part","Camera:C930e","Logitech Camera 960-000971 C930e Webcam USB2.0 1080p HD 1920x1080 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Logitech Camera 960-000971 C930e Webcam USB2.0 1080p HD 1920x1080 Retail",0,"each (ea)","Count in each",129.24,,,0.00,0,"No","","960-000971","No",,,,,,
